AARS1	hsa:16	alanyl-tRNA synthetase 1
KCNA1	hsa:3736	potassium voltage-gated channel subfamily A member 1
KCNA2	hsa:3737	potassium voltage-gated channel subfamily A member 2
KCNA4	hsa:3739	potassium voltage-gated channel subfamily A member 4
KCNB1	hsa:3745	potassium voltage-gated channel subfamily B member 1
KCNC1	hsa:3746	potassium voltage-gated channel subfamily C member 1
KCND2	hsa:3751	potassium voltage-gated channel subfamily D member 2
KCND3	hsa:3752	potassium voltage-gated channel subfamily D member 3
KCNH1	hsa:3756	potassium voltage-gated channel subfamily H member 1
KCNJ10	hsa:3766	potassium inwardly rectifying channel subfamily J member 10
KCNJ11	hsa:3767	potassium inwardly rectifying channel subfamily J member 11
KCNJ12	hsa:3768	potassium inwardly rectifying channel subfamily J member 12
KCNJ15	hsa:3772	potassium inwardly rectifying channel subfamily J member 15
KCNJ6	hsa:3763	potassium inwardly rectifying channel subfamily J member 6
KCNK4	hsa:50801	potassium two pore domain channel subfamily K member 4
KCNK7	hsa:10089	potassium two pore domain channel subfamily K member 7
KCNK9	hsa:51305	potassium two pore domain channel subfamily K member 9
KCNMA1	hsa:3778	potassium calcium-activated channel subfamily M alpha 1
KCNN3	hsa:3782	potassium calcium-activated channel subfamily N member 3
KCNQ2	hsa:3785	potassium voltage-gated channel subfamily Q member 2
KCNQ3	hsa:3786	potassium voltage-gated channel subfamily Q member 3
KCNQ4	hsa:9132	potassium voltage-gated channel subfamily Q member 4
KCNQ5	hsa:56479	potassium voltage-gated channel subfamily Q member 5
KCNS3	hsa:3790	potassium voltage-gated channel modifier subfamily S member 3
KCNT1	hsa:57582	potassium sodium-activated channel subfamily T member 1
KCNT2	hsa:343450	potassium sodium-activated channel subfamily T member 2
KCNV1	hsa:27012	potassium voltage-gated channel modifier subfamily V member 1
KCTD13	hsa:253980	potassium channel tetramerization domain containing 13
KCTD3	hsa:51133	potassium channel tetramerization domain containing 3
KCTD7	hsa:154881	potassium channel tetramerization domain containing 7
KDM1A	hsa:23028	lysine demethylase 1A
KDM1B	hsa:221656	lysine demethylase 1B
KDM3B	hsa:51780	lysine demethylase 3B
KDM4B	hsa:23030	lysine demethylase 4B
KDM4C	hsa:23081	lysine demethylase 4C
KDM5A	hsa:5927	lysine demethylase 5A
KDM5B	hsa:10765	lysine demethylase 5B
KDM5C	hsa:8242	lysine demethylase 5C
KDM6A	hsa:7403	lysine demethylase 6A
KDM6B	hsa:23135	lysine demethylase 6B
KHDRBS2	hsa:202559	KH RNA binding domain containing, signal transduction associated 2
KIDINS220	hsa:57498	kinase D interacting substrate 220
KIF11	hsa:3832	kinesin family member 11
KIF13B	hsa:23303	kinesin family member 13B
KIF14	hsa:9928	kinesin family member 14
KIF1A	hsa:547	kinesin family member 1A
KIF1B	hsa:23095	kinesin family member 1B
KIF1C	hsa:10749	kinesin family member 1C
KIF21B	hsa:23046	kinesin family member 21B
KIF26B	hsa:55083	kinesin family member 26B
KIF2A	hsa:3796	kinesin family member 2A
KIF4A	hsa:24137	kinesin family member 4A
KIF5A	hsa:3798	kinesin family member 5A
KIF5C	hsa:3800	kinesin family member 5C
KIF7	hsa:374654	kinesin family member 7
KIFBP	hsa:26128	kinesin family binding protein
KIZ	hsa:55857	kizuna centrosomal protein
KLF16	hsa:83855	Kruppel like factor 16
KLF7	hsa:8609	Kruppel like factor 7
KLHL15	hsa:80311	kelch like family member 15
KLHL2	hsa:11275	kelch like family member 2
KLHL7	hsa:55975	kelch like family member 7
KMT2A	hsa:4297	lysine methyltransferase 2A
KMT2B	hsa:9757	lysine methyltransferase 2B
KMT2C	hsa:58508	lysine methyltransferase 2C
KMT2D	hsa:8085	lysine methyltransferase 2D
KMT2E	hsa:55904	lysine methyltransferase 2E (inactive)
KMT5B	hsa:51111	lysine methyltransferase 5B
KNG1	hsa:3827	kininogen 1
KPNA7	hsa:402569	karyopherin subunit alpha 7
KPTN	hsa:11133	kaptin, actin binding protein
KRAS	hsa:3845	KRAS proto-oncogene, GTPase
KRR1	hsa:11103	KRR1 small subunit processome component homolog
KRT24	hsa:192666	keratin 24
KRT26	hsa:353288	keratin 26
L1CAM	hsa:3897	L1 cell adhesion molecule
L2HGDH	hsa:79944	L-2-hydroxyglutarate dehydrogenase
LAGE3	hsa:8270	L antigen family member 3
LAMA1	hsa:284217	laminin subunit alpha 1
LAMA2	hsa:3908	laminin subunit alpha 2
LAMB1	hsa:3912	laminin subunit beta 1
LAMC3	hsa:10319	laminin subunit gamma 3
LAMP2	hsa:3920	lysosomal associated membrane protein 2
LARGE1	hsa:9215	LARGE xylosyl- and glucuronyltransferase 1
LARP1	hsa:23367	La ribonucleoprotein 1, translational regulator
LARP4B	hsa:23185	La ribonucleoprotein 4B
LARP7	hsa:51574	La ribonucleoprotein 7, transcriptional regulator
LARS2	hsa:23395	leucyl-tRNA synthetase 2, mitochondrial
LAS1L	hsa:81887	LAS1 like ribosome biogenesis factor
LBR	hsa:3930	lamin B receptor
LDB1	hsa:8861	LIM domain binding 1
LDLR	hsa:3949	low density lipoprotein receptor
LEO1	hsa:123169	LEO1 homolog, Paf1/RNA polymerase II complex component
LEP	hsa:3952	leptin
LIAS	hsa:11019	lipoic acid synthetase
LIG4	hsa:3981	DNA ligase 4
LILRB2	hsa:10288	leukocyte immunoglobulin like receptor B2
LIN7B	hsa:64130	lin-7 homolog B, crumbs cell polarity complex component
LINGO1	hsa:84894	leucine rich repeat and Ig domain containing 1
LIPT2	hsa:387787	lipoyl(octanoyl) transferase 2
LMBRD1	hsa:55788	LMBR1 domain containing 1
LMNB1	hsa:4001	lamin B1
LMNB2	hsa:84823	lamin B2
LMTK3	hsa:114783	lemur tyrosine kinase 3
LMX1B	hsa:4010	LIM homeobox transcription factor 1 beta
LNPK	hsa:80856	lunapark, ER junction formation factor
LONP1	hsa:9361	lon peptidase 1, mitochondrial
LRBA	hsa:987	LPS responsive beige-like anchor protein
LRFN2	hsa:57497	leucine rich repeat and fibronectin type III domain containing 2
LRFN5	hsa:145581	leucine rich repeat and fibronectin type III domain containing 5
LRP1	hsa:4035	LDL receptor related protein 1
LRP12	hsa:29967	LDL receptor related protein 12
LRP2	hsa:4036	LDL receptor related protein 2
LRPPRC	hsa:10128	leucine rich pentatricopeptide repeat containing
LRRC4	hsa:64101	leucine rich repeat containing 4
LRRC4C	hsa:57689	leucine rich repeat containing 4C
LRRC7	hsa:57554	leucine rich repeat containing 7
LSS	hsa:4047	lanosterol synthase
LZTFL1	hsa:54585	leucine zipper transcription factor like 1
LZTR1	hsa:8216	leucine zipper like transcription regulator 1
MACF1	hsa:23499	microtubule actin crosslinking factor 1
MAF	hsa:4094	MAF bZIP transcription factor
MAG	hsa:4099	myelin associated glycoprotein
MAGEL2	hsa:54551	MAGE family member L2
MAML3	hsa:55534	mastermind like transcriptional coactivator 3
MAN1B1	hsa:11253	mannosidase alpha class 1B member 1
MAN2B1	hsa:4125	mannosidase alpha class 2B member 1
MANBA	hsa:4126	mannosidase beta
MAOA	hsa:4128	monoamine oxidase A
MAOB	hsa:4129	monoamine oxidase B
MAP1A	hsa:4130	microtubule associated protein 1A
MAP1B	hsa:4131	microtubule associated protein 1B
MAP2K1	hsa:5604	mitogen-activated protein kinase kinase 1
MAP2K2	hsa:5605	mitogen-activated protein kinase kinase 2
MAP3K10	hsa:4294	mitogen-activated protein kinase kinase kinase 10
MAP3K5	hsa:4217	mitogen-activated protein kinase kinase kinase 5
MAP3K7	hsa:6885	mitogen-activated protein kinase kinase kinase 7
MAP9	hsa:79884	microtubule associated protein 9
MAPK1	hsa:5594	mitogen-activated protein kinase 1
MAPK3	hsa:5595	mitogen-activated protein kinase 3
MAPK8IP3	hsa:23162	mitogen-activated protein kinase 8 interacting protein 3
MAPKAP1	hsa:79109	MAPK associated protein 1
MAPT	hsa:4137	microtubule associated protein tau
MARK1	hsa:4139	microtubule affinity regulating kinase 1
MASP1	hsa:5648	MBL associated serine protease 1
MAST1	hsa:22983	microtubule associated serine/threonine kinase 1
MAT1A	hsa:4143	methionine adenosyltransferase 1A
MBD1	hsa:4152	methyl-CpG binding domain protein 1
MBD3	hsa:53615	methyl-CpG binding domain protein 3
MBD4	hsa:8930	methyl-CpG binding domain 4, DNA glycosylase
MBD5	hsa:55777	methyl-CpG binding domain protein 5
MBOAT7	hsa:79143	membrane bound O-acyltransferase domain containing 7
MBP	hsa:4155	myelin basic protein
MBTPS2	hsa:51360	membrane bound transcription factor peptidase, site 2
MCCC1	hsa:56922	methylcrotonyl-CoA carboxylase subunit 1
MCCC2	hsa:64087	methylcrotonyl-CoA carboxylase subunit 2
MCM3AP	hsa:8888	minichromosome maintenance complex component 3 associated protein
MCM4	hsa:4173	minichromosome maintenance complex component 4
MCM6	hsa:4175	minichromosome maintenance complex component 6
MCOLN1	hsa:57192	mucolipin TRP cation channel 1
MCPH1	hsa:79648	microcephalin 1
MDH2	hsa:4191	malate dehydrogenase 2
MECP2	hsa:4204	methyl-CpG binding protein 2
MED12	hsa:9968	mediator complex subunit 12
MED12L	hsa:116931	mediator complex subunit 12L
MED13	hsa:9969	mediator complex subunit 13
MED13L	hsa:23389	mediator complex subunit 13L
MED17	hsa:9440	mediator complex subunit 17
MED23	hsa:9439	mediator complex subunit 23
MED25	hsa:81857	mediator complex subunit 25
MEF2C	hsa:4208	myocyte enhancer factor 2C
MEGF10	hsa:84466	multiple EGF like domains 10
MEGF11	hsa:84465	multiple EGF like domains 11
MEGF8	hsa:1954	multiple EGF like domains 8
MEIS2	hsa:4212	Meis homeobox 2
MEMO1	hsa:51072	mediator of cell motility 1
MESD	hsa:23184	mesoderm development LRP chaperone
MET	hsa:4233	MET proto-oncogene, receptor tyrosine kinase
METTL23	hsa:124512	methyltransferase like 23
METTL5	hsa:29081	methyltransferase 5, N6-adenosine
MFF	hsa:56947	mitochondrial fission factor
MFRP	hsa:83552	membrane frizzled-related protein
MFSD2A	hsa:84879	major facilitator superfamily domain containing 2A
MFSD8	hsa:256471	major facilitator superfamily domain containing 8
MGAT2	hsa:4247	alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase
MGME1	hsa:92667	mitochondrial genome maintenance exonuclease 1
MIB1	hsa:57534	MIB E3 ubiquitin protein ligase 1
MICOS13	hsa:125988	mitochondrial contact site and cristae organizing system subunit 13
MICU1	hsa:10367	mitochondrial calcium uptake 1
MID1	hsa:4281	midline 1
MINPP1	hsa:9562	multiple inositol-polyphosphate phosphatase 1
MIR137	hsa:406928	microRNA 137
MKKS	hsa:8195	MKKS centrosomal shuttling protein
MKS1	hsa:54903	MKS transition zone complex subunit 1
MKX	hsa:283078	mohawk homeobox
MLANA	hsa:2315	melan-A
MLC1	hsa:23209	modulator of VRAC current 1
MLYCD	hsa:23417	malonyl-CoA decarboxylase
MMAB	hsa:326625	metabolism of cobalamin associated B
MMACHC	hsa:25974	metabolism of cobalamin associated C
MMP14	hsa:4323	matrix metallopeptidase 14
MMP21	hsa:118856	matrix metallopeptidase 21
MMUT	hsa:4594	methylmalonyl-CoA mutase
MN1	hsa:4330	MN1 proto-oncogene, transcriptional regulator
MNT	hsa:4335	MAX network transcriptional repressor
MOCS1	hsa:4337	molybdenum cofactor synthesis 1
MOCS2	hsa:4338	molybdenum cofactor synthesis 2
MOGS	hsa:7841	mannosyl-oligosaccharide glucosidase
MORC2	hsa:22880	MORC family CW-type zinc finger 2
MORC3	hsa:23515	MORC family CW-type zinc finger 3
MPDU1	hsa:9526	mannose-P-dolichol utilization defect 1
MPDZ	hsa:8777	multiple PDZ domain crumbs cell polarity complex component
MPHOSPH10	hsa:10199	M-phase phosphoprotein 10
MPI	hsa:4351	mannose phosphate isomerase
MPLKIP	hsa:136647	M-phase specific PLK1 interacting protein
MRAS	hsa:22808	muscle RAS oncogene homolog
MRE11	hsa:4361	MRE11 homolog, double strand break repair nuclease
MRPS22	hsa:56945	mitochondrial ribosomal protein S22
MRPS34	hsa:65993	mitochondrial ribosomal protein S34
MSL3	hsa:10943	MSL complex subunit 3
MSR1	hsa:4481	macrophage scavenger receptor 1
MSX2	hsa:4488	msh homeobox 2
MTF1	hsa:4520	metal regulatory transcription factor 1
MTF2	hsa:22823	metal response element binding transcription factor 2
MTFMT	hsa:123263	mitochondrial methionyl-tRNA formyltransferase
MTHFR	hsa:4524	methylenetetrahydrofolate reductase
MTO1	hsa:25821	mitochondrial tRNA translation optimization 1
MTOR	hsa:2475	mechanistic target of rapamycin kinase
MTR	hsa:4548	5-methyltetrahydrofolate-homocysteine methyltransferase
MUC12	hsa:10071	mucin 12, cell surface associated
MUC4	hsa:4585	mucin 4, cell surface associated
MVK	hsa:4598	mevalonate kinase
MYC	hsa:4609	MYC proto-oncogene, bHLH transcription factor
MYCN	hsa:4613	MYCN proto-oncogene, bHLH transcription factor
MYH10	hsa:4628	myosin heavy chain 10
MYH14	hsa:79784	myosin heavy chain 14
MYH4	hsa:4622	myosin heavy chain 4
MYH9	hsa:4627	myosin heavy chain 9
MYLK	hsa:4638	myosin light chain kinase
MYO16	hsa:23026	myosin XVI
MYO18B	hsa:84700	myosin XVIIIB
MYO1E	hsa:4643	myosin IE
MYO5A	hsa:4644	myosin VA
MYO5C	hsa:55930	myosin VC
MYO9B	hsa:4650	myosin IXB
MYT1	hsa:4661	myelin transcription factor 1
MYT1L	hsa:23040	myelin transcription factor 1 like
NAA10	hsa:8260	N-alpha-acetyltransferase 10, NatA catalytic subunit
NAA15	hsa:80155	N-alpha-acetyltransferase 15, NatA auxiliary subunit
NAALADL2	hsa:254827	N-acetylated alpha-linked acidic dipeptidase like 2
NACC1	hsa:112939	nucleus accumbens associated 1
NAGA	hsa:4668	alpha-N-acetylgalactosaminidase
NAGLU	hsa:4669	N-acetyl-alpha-glucosaminidase
NALCN	hsa:259232	sodium leak channel, non-selective
NANS	hsa:54187	N-acetylneuraminate synthase
NARS1	hsa:4677	asparaginyl-tRNA synthetase 1
NARS2	hsa:79731	asparaginyl-tRNA synthetase 2, mitochondrial
NAV2	hsa:89797	neuron navigator 2
NBAS	hsa:51594	NBAS subunit of NRZ tethering complex
NBEA	hsa:26960	neurobeachin
NBN	hsa:4683	nibrin
NCAPG2	hsa:54892	non-SMC condensin II complex subunit G2
NCAPH2	hsa:29781	non-SMC condensin II complex subunit H2
NCKAP1	hsa:10787	NCK associated protein 1
NCOA1	hsa:8648	nuclear receptor coactivator 1
NCOA2	hsa:10499	nuclear receptor coactivator 2
NCOA6	hsa:23054	nuclear receptor coactivator 6
NCOR1	hsa:9611	nuclear receptor corepressor 1
NCOR2	hsa:9612	nuclear receptor corepressor 2
ND5	hsa:4540	NADH dehydrogenase subunit 5
NDE1	hsa:54820	nudE neurodevelopment protein 1
NDST1	hsa:3340	N-deacetylase and N-sulfotransferase 1
NDUFA1	hsa:4694	NADH:ubiquinone oxidoreductase subunit A1
NDUFA11	hsa:126328	NADH:ubiquinone oxidoreductase subunit A11
NDUFA5	hsa:4698	NADH:ubiquinone oxidoreductase subunit A5
NDUFA6	hsa:4700	NADH:ubiquinone oxidoreductase subunit A6
NDUFAF5	hsa:79133	NADH:ubiquinone oxidoreductase complex assembly factor 5
NDUFAF8	hsa:284184	NADH:ubiquinone oxidoreductase complex assembly factor 8
NDUFB8	hsa:4714	NADH:ubiquinone oxidoreductase subunit B8
NDUFS1	hsa:4719	NADH:ubiquinone oxidoreductase core subunit S1
NDUFS2	hsa:4720	NADH:ubiquinone oxidoreductase core subunit S2
NDUFS3	hsa:4722	NADH:ubiquinone oxidoreductase core subunit S3
NDUFS4	hsa:4724	NADH:ubiquinone oxidoreductase subunit S4
NDUFS7	hsa:374291	NADH:ubiquinone oxidoreductase core subunit S7
NDUFS8	hsa:4728	NADH:ubiquinone oxidoreductase core subunit S8
NDUFV1	hsa:4723	NADH:ubiquinone oxidoreductase core subunit V1
NECAP1	hsa:25977	NECAP endocytosis associated 1
NECTIN1	hsa:5818	nectin cell adhesion molecule 1
NEDD4L	hsa:23327	NEDD4 like E3 ubiquitin protein ligase
NEGR1	hsa:257194	neuronal growth regulator 1
NEMF	hsa:9147	nuclear export mediator factor
NEO1	hsa:4756	neogenin 1
NEU1	hsa:4758	neuraminidase 1
NEURL4	hsa:84461	neuralized E3 ubiquitin protein ligase 4
NF1	hsa:4763	neurofibromin 1
NFASC	hsa:23114	neurofascin
NFATC3	hsa:4775	nuclear factor of activated T cells 3
NFE2L3	hsa:9603	NFE2 like bZIP transcription factor 3
NFIA	hsa:4774	nuclear factor I A
NFIB	hsa:4781	nuclear factor I B
NFIX	hsa:4784	nuclear factor I X
NFU1	hsa:27247	NFU1 iron-sulfur cluster scaffold
NGLY1	hsa:55768	N-glycanase 1
NHS	hsa:4810	NHS actin remodeling regulator
NINL	hsa:22981	ninein like
NIPA1	hsa:123606	NIPA magnesium transporter 1
NIPA2	hsa:81614	NIPA magnesium transporter 2
NIPBL	hsa:25836	NIPBL cohesin loading factor
NKIRAS2	hsa:28511	NFKB inhibitor interacting Ras like 2
NKX2-1	hsa:7080	NK2 homeobox 1
NKX2-2	hsa:4821	NK2 homeobox 2
NKX6-2	hsa:84504	NK6 homeobox 2
NLGN1	hsa:22871	neuroligin 1
NLGN2	hsa:57555	neuroligin 2
NLGN3	hsa:54413	neuroligin 3
NLGN4X	hsa:57502	neuroligin 4 X-linked
NLGN4Y	hsa:22829	neuroligin 4 Y-linked
NLRP3	hsa:114548	NLR family pyrin domain containing 3
NMNAT1	hsa:64802	nicotinamide nucleotide adenylyltransferase 1
NOL6	hsa:65083	nucleolar protein 6
NONO	hsa:4841	non-POU domain containing octamer binding
NOVA2	hsa:4858	NOVA alternative splicing regulator 2
NPAS1	hsa:4861	neuronal PAS domain protein 1
NPAS2	hsa:4862	neuronal PAS domain protein 2
NPC1	hsa:4864	NPC intracellular cholesterol transporter 1
NPC2	hsa:10577	NPC intracellular cholesterol transporter 2
NPHP1	hsa:4867	nephrocystin 1
NPHS1	hsa:4868	NPHS1 adhesion molecule, nephrin
NPRL2	hsa:10641	NPR2 like, GATOR1 complex subunit
NR1D1	hsa:9572	nuclear receptor subfamily 1 group D member 1
NR2F1	hsa:7025	nuclear receptor subfamily 2 group F member 1
NR3C2	hsa:4306	nuclear receptor subfamily 3 group C member 2
NR4A2	hsa:4929	nuclear receptor subfamily 4 group A member 2
NRAS	hsa:4893	NRAS proto-oncogene, GTPase
NRCAM	hsa:4897	neuronal cell adhesion molecule
NRG2	hsa:9542	neuregulin 2
NRP2	hsa:8828	neuropilin 2
NRXN1	hsa:9378	neurexin 1
NRXN2	hsa:9379	neurexin 2
NRXN3	hsa:9369	neurexin 3
NSD1	hsa:64324	nuclear receptor binding SET domain protein 1
NSD2	hsa:7468	nuclear receptor binding SET domain protein 2
NSDHL	hsa:50814	NAD(P) dependent steroid dehydrogenase-like
NSMCE3	hsa:56160	NSE3 homolog, SMC5-SMC6 complex component
NSUN2	hsa:54888	NOP2/Sun RNA methyltransferase 2
NT5C2	hsa:22978	5'-nucleotidase, cytosolic II
NTNG1	hsa:22854	netrin G1
NTNG2	hsa:84628	netrin G2
NTRK1	hsa:4914	neurotrophic receptor tyrosine kinase 1
NTRK2	hsa:4915	neurotrophic receptor tyrosine kinase 2
NTRK3	hsa:4916	neurotrophic receptor tyrosine kinase 3
NUAK1	hsa:9891	NUAK family kinase 1
NUBPL	hsa:80224	NUBP iron-sulfur cluster assembly factor, mitochondrial
NUCB2	hsa:4925	nucleobindin 2
NUDT2	hsa:318	nudix hydrolase 2
NUP107	hsa:57122	nucleoporin 107
NUP133	hsa:55746	nucleoporin 133
NUP155	hsa:9631	nucleoporin 155
NUP188	hsa:23511	nucleoporin 188
NUP214	hsa:8021	nucleoporin 214
NUP37	hsa:79023	nucleoporin 37
NUS1	hsa:116150	NUS1 dehydrodolichyl diphosphate synthase subunit
NXF1	hsa:10482	nuclear RNA export factor 1
OBSL1	hsa:23363	obscurin like cytoskeletal adaptor 1
OCLN	hsa:100506658	occludin
OCRL	hsa:4952	OCRL inositol polyphosphate-5-phosphatase
ODC1	hsa:4953	ornithine decarboxylase 1
ODF3L2	hsa:284451	outer dense fiber of sperm tails 3 like 2
OFD1	hsa:8481	OFD1 centriole and centriolar satellite protein
OGT	hsa:8473	O-linked N-acetylglucosamine (GlcNAc) transferase
OPA1	hsa:4976	OPA1 mitochondrial dynamin like GTPase
OPHN1	hsa:4983	oligophrenin 1
OPN4	hsa:94233	opsin 4
OR1C1	hsa:26188	olfactory receptor family 1 subfamily C member 1
OR2M4	hsa:26245	olfactory receptor family 2 subfamily M member 4
OR2T10	hsa:127069	olfactory receptor family 2 subfamily T member 10
OR2T8	hsa:343172	olfactory receptor family 2 subfamily T member 8
OR52M1	hsa:119772	olfactory receptor family 52 subfamily M member 1
ORC1	hsa:4998	origin recognition complex subunit 1
ORC4	hsa:5000	origin recognition complex subunit 4
ORC6	hsa:23594	origin recognition complex subunit 6
OSBPL6	hsa:114880	oxysterol binding protein like 6
OSGEP	hsa:55644	O-sialoglycoprotein endopeptidase
OTC	hsa:5009	ornithine transcarbamylase
OTUD6B	hsa:51633	OTU deubiquitinase 6B
OTUD7A	hsa:161725	OTU deubiquitinase 7A
OTX1	hsa:5013	orthodenticle homeobox 1
OTX2	hsa:5015	orthodenticle homeobox 2
OXR1	hsa:55074	oxidation resistance 1
OXT	hsa:5020	oxytocin/neurophysin I prepropeptide
OXTR	hsa:5021	oxytocin receptor
P2RX5	hsa:5026	purinergic receptor P2X 5
P4HA2	hsa:8974	prolyl 4-hydroxylase subunit alpha 2
P4HTM	hsa:54681	prolyl 4-hydroxylase, transmembrane
PACS1	hsa:55690	phosphofurin acidic cluster sorting protein 1
PACS2	hsa:23241	phosphofurin acidic cluster sorting protein 2
PAFAH1B1	hsa:5048	platelet activating factor acetylhydrolase 1b regulatory subunit 1
PAFAH1B2	hsa:5049	platelet activating factor acetylhydrolase 1b catalytic subunit 2
PAFAH1B3	hsa:5050	platelet activating factor acetylhydrolase 1b catalytic subunit 3
PAH	hsa:5053	phenylalanine hydroxylase
PAK1	hsa:5058	p21 (RAC1) activated kinase 1
PAK2	hsa:5062	p21 (RAC1) activated kinase 2
PAK3	hsa:5063	p21 (RAC1) activated kinase 3
PANK2	hsa:80025	pantothenate kinase 2
PAPOLG	hsa:64895	poly(A) polymerase gamma
PARN	hsa:5073	poly(A)-specific ribonuclease
PARS2	hsa:25973	prolyl-tRNA synthetase 2, mitochondrial
PATJ	hsa:10207	PATJ crumbs cell polarity complex component
PAX2	hsa:5076	paired box 2
PAX3	hsa:5077	paired box 3
PAX5	hsa:5079	paired box 5
PAX6	hsa:5080	paired box 6
PAX8	hsa:7849	paired box 8
PBX1	hsa:5087	PBX homeobox 1
PC	hsa:5091	pyruvate carboxylase
PCBD1	hsa:5092	pterin-4 alpha-carbinolamine dehydratase 1
PCCA	hsa:5095	propionyl-CoA carboxylase subunit alpha
PCCB	hsa:5096	propionyl-CoA carboxylase subunit beta
PCDH10	hsa:57575	protocadherin 10
PCDH11X	hsa:27328	protocadherin 11 X-linked
PCDH12	hsa:51294	protocadherin 12
PCDH15	hsa:65217	protocadherin related 15
PCDH19	hsa:57526	protocadherin 19
PCDH9	hsa:5101	protocadherin 9
PCDHA1	hsa:56147	protocadherin alpha 1
PCDHA10	hsa:56139	protocadherin alpha 10
PCDHA11	hsa:56138	protocadherin alpha 11
PCDHA12	hsa:56137	protocadherin alpha 12
PCDHA13	hsa:56136	protocadherin alpha 13
PCDHA3	hsa:56145	protocadherin alpha 3
PCDHA4	hsa:56144	protocadherin alpha 4
PCDHA5	hsa:56143	protocadherin alpha 5
PCDHA6	hsa:56142	protocadherin alpha 6
PCDHA7	hsa:56141	protocadherin alpha 7
PCDHA8	hsa:56140	protocadherin alpha 8
PCDHA9	hsa:9752	protocadherin alpha 9
PCDHAC1	hsa:56135	protocadherin alpha subfamily C, 1
PCDHAC2	hsa:56134	protocadherin alpha subfamily C, 2
PCGF2	hsa:7703	polycomb group ring finger 2
PCLO	hsa:27445	piccolo presynaptic cytomatrix protein
PCM1	hsa:5108	pericentriolar material 1
PCNT	hsa:5116	pericentrin
PCOLCE	hsa:5118	procollagen C-endopeptidase enhancer
PCYT2	hsa:5833	phosphate cytidylyltransferase 2, ethanolamine
PDCD1	hsa:5133	programmed cell death 1
PDE10A	hsa:10846	phosphodiesterase 10A
PDE1C	hsa:5137	phosphodiesterase 1C
PDE2A	hsa:5138	phosphodiesterase 2A
PDE4D	hsa:5144	phosphodiesterase 4D
PDE6D	hsa:5147	phosphodiesterase 6D
PDGFRB	hsa:5159	platelet derived growth factor receptor beta
PDHA1	hsa:5160	pyruvate dehydrogenase E1 subunit alpha 1
PDHX	hsa:8050	pyruvate dehydrogenase complex component X
PDIK1L	hsa:149420	PDLIM1 interacting kinase 1 like
PDK2	hsa:5164	pyruvate dehydrogenase kinase 2
PDPR	hsa:55066	pyruvate dehydrogenase phosphatase regulatory subunit
PDSS1	hsa:23590	decaprenyl diphosphate synthase subunit 1
PDSS2	hsa:57107	decaprenyl diphosphate synthase subunit 2
PEPD	hsa:5184	peptidase D
PER1	hsa:5187	period circadian regulator 1
PER2	hsa:8864	period circadian regulator 2
PET100	hsa:100131801	PET100 cytochrome c oxidase chaperone
PEX1	hsa:5189	peroxisomal biogenesis factor 1
PEX10	hsa:5192	peroxisomal biogenesis factor 10
PEX11B	hsa:8799	peroxisomal biogenesis factor 11 beta
PEX12	hsa:5193	peroxisomal biogenesis factor 12
PEX13	hsa:5194	peroxisomal biogenesis factor 13
PEX14	hsa:5195	peroxisomal biogenesis factor 14
PEX16	hsa:9409	peroxisomal biogenesis factor 16
PEX19	hsa:5824	peroxisomal biogenesis factor 19
PEX2	hsa:5828	peroxisomal biogenesis factor 2
PEX26	hsa:55670	peroxisomal biogenesis factor 26
PEX3	hsa:8504	peroxisomal biogenesis factor 3
PEX5	hsa:5830	peroxisomal biogenesis factor 5
PEX6	hsa:5190	peroxisomal biogenesis factor 6
PEX7	hsa:5191	peroxisomal biogenesis factor 7
PGAP1	hsa:80055	post-GPI attachment to proteins inositol deacylase 1
PGAP2	hsa:27315	post-GPI attachment to proteins 2
PGAP3	hsa:93210	post-GPI attachment to proteins phospholipase 3
PGK1	hsa:5230	phosphoglycerate kinase 1
PGM3	hsa:5238	phosphoglucomutase 3
PHF2	hsa:5253	PHD finger protein 2
PHF21A	hsa:51317	PHD finger protein 21A
PHF6	hsa:84295	PHD finger protein 6
PHF8	hsa:23133	PHD finger protein 8
PHGDH	hsa:26227	phosphoglycerate dehydrogenase
PHIP	hsa:55023	pleckstrin homology domain interacting protein
PHLPP1	hsa:23239	PH domain and leucine rich repeat protein phosphatase 1
PHOX2B	hsa:8929	paired like homeobox 2B
PHRF1	hsa:57661	PHD and ring finger domains 1
PIAS4	hsa:51588	protein inhibitor of activated STAT 4
PIBF1	hsa:10464	progesterone immunomodulatory binding factor 1
PIDD1	hsa:55367	p53-induced death domain protein 1
PIEZO2	hsa:63895	piezo type mechanosensitive ion channel component 2
PIGA	hsa:5277	phosphatidylinositol glycan anchor biosynthesis class A
PIGB	hsa:9488	phosphatidylinositol glycan anchor biosynthesis class B
PIGC	hsa:5279	phosphatidylinositol glycan anchor biosynthesis class C
PIGG	hsa:54872	phosphatidylinositol glycan anchor biosynthesis class G
PIGH	hsa:5283	phosphatidylinositol glycan anchor biosynthesis class H
PIGK	hsa:10026	phosphatidylinositol glycan anchor biosynthesis class K
PIGL	hsa:9487	phosphatidylinositol glycan anchor biosynthesis class L
PIGN	hsa:23556	phosphatidylinositol glycan anchor biosynthesis class N
PIGO	hsa:84720	phosphatidylinositol glycan anchor biosynthesis class O
PIGP	hsa:51227	phosphatidylinositol glycan anchor biosynthesis class P
