AARS1	hsa:16	alanyl-tRNA synthetase 1
PPP1R1B	hsa:84152	protein phosphatase 1 regulatory inhibitor subunit 1B
PPP2CA	hsa:5515	protein phosphatase 2 catalytic subunit alpha
PPP2R1A	hsa:5518	protein phosphatase 2 scaffold subunit Aalpha
PPP2R1B	hsa:5519	protein phosphatase 2 scaffold subunit Abeta
PPP2R5D	hsa:5528	protein phosphatase 2 regulatory subunit B'delta
PPP3CA	hsa:5530	protein phosphatase 3 catalytic subunit alpha
PPP3CB	hsa:5532	protein phosphatase 3 catalytic subunit beta
PPP5C	hsa:5536	protein phosphatase 5 catalytic subunit
PPT1	hsa:5538	palmitoyl-protein thioesterase 1
PQBP1	hsa:10084	polyglutamine binding protein 1
PREX1	hsa:57580	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1
PRICKLE1	hsa:144165	prickle planar cell polarity protein 1
PRICKLE2	hsa:166336	prickle planar cell polarity protein 2
PRKACB	hsa:5567	protein kinase cAMP-activated catalytic subunit beta
PRKAG2	hsa:51422	protein kinase AMP-activated non-catalytic subunit gamma 2
PRKAR1B	hsa:5575	protein kinase cAMP-dependent type I regulatory subunit beta
PRKCA	hsa:5578	protein kinase C alpha
PRKCB	hsa:5579	protein kinase C beta
PRKCG	hsa:5582	protein kinase C gamma
PRKD1	hsa:5587	protein kinase D1
PRKD2	hsa:25865	protein kinase D2
PRKD3	hsa:23683	protein kinase D3
PRKDC	hsa:5591	protein kinase, DNA-activated, catalytic subunit
PRKN	hsa:5071	parkin RBR E3 ubiquitin protein ligase
PRODH	hsa:5625	proline dehydrogenase 1
PRPF18	hsa:8559	pre-mRNA processing factor 18
PRPS1	hsa:5631	phosphoribosyl pyrophosphate synthetase 1
PRUNE1	hsa:58497	prune exopolyphosphatase 1
PSAP	hsa:5660	prosaposin
PSD3	hsa:23362	pleckstrin and Sec7 domain containing 3
PSMD12	hsa:5718	proteasome 26S subunit, non-ATPase 12
PSME4	hsa:23198	proteasome activator subunit 4
PSPH	hsa:5723	phosphoserine phosphatase
PTCH1	hsa:5727	patched 1
PTDSS1	hsa:9791	phosphatidylserine synthase 1
PTEN	hsa:5728	phosphatase and tensin homolog
PTGS2	hsa:5743	prostaglandin-endoperoxide synthase 2
PTPN11	hsa:5781	protein tyrosine phosphatase non-receptor type 11
PTPRB	hsa:5787	protein tyrosine phosphatase receptor type B
PTPRC	hsa:5788	protein tyrosine phosphatase receptor type C
PTS	hsa:5805	6-pyruvoyltetrahydropterin synthase
PUF60	hsa:22827	poly(U) binding splicing factor 60
PUM1	hsa:9698	pumilio RNA binding family member 1
PYCR1	hsa:5831	pyrroline-5-carboxylate reductase 1
PYCR2	hsa:29920	pyrroline-5-carboxylate reductase 2
QARS1	hsa:5859	glutaminyl-tRNA synthetase 1
QDPR	hsa:5860	quinoid dihydropteridine reductase
RAB11A	hsa:8766	RAB11A, member RAS oncogene family
RAB11B	hsa:9230	RAB11B, member RAS oncogene family
RAB11FIP5	hsa:26056	RAB11 family interacting protein 5
RAB2A	hsa:5862	RAB2A, member RAS oncogene family
RAB39B	hsa:116442	RAB39B, member RAS oncogene family
RAC1	hsa:5879	Rac family small GTPase 1
RAC3	hsa:5881	Rac family small GTPase 3
RAD21	hsa:5885	RAD21 cohesin complex component
RAE1	hsa:8480	ribonucleic acid export 1
RAF1	hsa:5894	Raf-1 proto-oncogene, serine/threonine kinase
RALA	hsa:5898	RAS like proto-oncogene A
RANBP17	hsa:64901	RAN binding protein 17
RANBP3	hsa:8498	RAN binding protein 3
RAPGEF4	hsa:11069	Rap guanine nucleotide exchange factor 4
RARB	hsa:5915	retinoic acid receptor beta
RARS1	hsa:5917	arginyl-tRNA synthetase 1
RARS2	hsa:57038	arginyl-tRNA synthetase 2, mitochondrial
RASSF5	hsa:83593	Ras association domain family member 5
RBBP8	hsa:5932	RB binding protein 8, endonuclease
RBL2	hsa:5934	RB transcriptional corepressor like 2
RBM17	hsa:84991	RNA binding motif protein 17
RBM28	hsa:55131	RNA binding motif protein 28
RBPJ	hsa:3516	recombination signal binding protein for immunoglobulin kappa J region
RELN	hsa:5649	reelin
REST	hsa:5978	RE1 silencing transcription factor
RHEB	hsa:6009	Ras homolog, mTORC1 binding
RHOBTB2	hsa:23221	Rho related BTB domain containing 2
RIF1	hsa:55183	replication timing regulatory factor 1
RIMS1	hsa:22999	regulating synaptic membrane exocytosis 1
RIMS2	hsa:9699	regulating synaptic membrane exocytosis 2
RNASEH2A	hsa:10535	ribonuclease H2 subunit A
RNASEH2B	hsa:79621	ribonuclease H2 subunit B
RNASEH2C	hsa:84153	ribonuclease H2 subunit C
RNF125	hsa:54941	ring finger protein 125
ROBO2	hsa:6092	roundabout guidance receptor 2
ROR2	hsa:4920	receptor tyrosine kinase like orphan receptor 2
RORA	hsa:6095	RAR related orphan receptor A
RORB	hsa:6096	RAR related orphan receptor B
RPE65	hsa:6121	retinoid isomerohydrolase RPE65
RPL10	hsa:6134	ribosomal protein L10
RPL26	hsa:6154	ribosomal protein L26
RPL4	hsa:6124	ribosomal protein L4
RPS26	hsa:6231	ribosomal protein S26
RPS6KA2	hsa:6196	ribosomal protein S6 kinase A2
RPS6KA3	hsa:6197	ribosomal protein S6 kinase A3
RRAS2	hsa:22800	RAS related 2
RRM1	hsa:6240	ribonucleotide reductase catalytic subunit M1
RRM2B	hsa:50484	ribonucleotide reductase regulatory TP53 inducible subunit M2B
RXYLT1	hsa:10329	ribitol xylosyltransferase 1
RYR2	hsa:6262	ryanodine receptor 2
SAE1	hsa:10055	SUMO1 activating enzyme subunit 1
SAMHD1	hsa:25939	SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1
SBDS	hsa:51119	SBDS ribosome maturation factor
SC5D	hsa:6309	sterol-C5-desaturase
SCN1A	hsa:6323	sodium voltage-gated channel alpha subunit 1
SCN1B	hsa:6324	sodium voltage-gated channel beta subunit 1
SCN2A	hsa:6326	sodium voltage-gated channel alpha subunit 2
SCN3A	hsa:6328	sodium voltage-gated channel alpha subunit 3
SCN9A	hsa:6335	sodium voltage-gated channel alpha subunit 9
SCO2	hsa:9997	synthesis of cytochrome C oxidase 2
SCP2	hsa:6342	sterol carrier protein 2
SDC2	hsa:6383	syndecan 2
SDHA	hsa:6389	succinate dehydrogenase complex flavoprotein subunit A
SEMA4C	hsa:54910	semaphorin 4C
SEMA5A	hsa:9037	semaphorin 5A
SEMA6B	hsa:10501	semaphorin 6B
SEPSECS	hsa:51091	Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase
SERPINE1	hsa:5054	serpin family E member 1
SETD1A	hsa:9739	SET domain containing 1A, histone lysine methyltransferase
SETD1B	hsa:23067	SET domain containing 1B, histone lysine methyltransferase
SETD2	hsa:29072	SET domain containing 2, histone lysine methyltransferase
SETDB1	hsa:9869	SET domain bifurcated histone lysine methyltransferase 1
SETDB2	hsa:83852	SET domain bifurcated histone lysine methyltransferase 2
SF3B1	hsa:23451	splicing factor 3b subunit 1
SF3B3	hsa:23450	splicing factor 3b subunit 3
SGPL1	hsa:8879	sphingosine-1-phosphate lyase 1
SGSH	hsa:6448	N-sulfoglucosamine sulfohydrolase
SH3GLB1	hsa:51100	SH3 domain containing GRB2 like, endophilin B1
SHANK1	hsa:50944	SH3 and multiple ankyrin repeat domains 1
SHANK2	hsa:22941	SH3 and multiple ankyrin repeat domains 2
SHANK3	hsa:85358	SH3 and multiple ankyrin repeat domains 3
SHH	hsa:6469	sonic hedgehog signaling molecule
SHOC2	hsa:8036	SHOC2 leucine rich repeat scaffold protein
SIAH1	hsa:6477	siah E3 ubiquitin protein ligase 1
SIK1	hsa:150094	salt inducible kinase 1
SIL1	hsa:64374	SIL1 nucleotide exchange factor
SIN3A	hsa:25942	SIN3 transcription regulator family member A
SIPA1L1	hsa:26037	signal induced proliferation associated 1 like 1
SLC12A2	hsa:6558	solute carrier family 12 member 2
SLC12A5	hsa:57468	solute carrier family 12 member 5
SLC16A2	hsa:6567	solute carrier family 16 member 2
SLC17A5	hsa:26503	solute carrier family 17 member 5
SLC18A2	hsa:6571	solute carrier family 18 member A2
SLC18A3	hsa:6572	solute carrier family 18 member A3
SLC19A3	hsa:80704	solute carrier family 19 member 3
SLC1A1	hsa:6505	solute carrier family 1 member 1
SLC1A2	hsa:6506	solute carrier family 1 member 2
SLC22A5	hsa:6584	solute carrier family 22 member 5
SLC25A20	hsa:788	solute carrier family 25 member 20
SLC27A4	hsa:10999	solute carrier family 27 member 4
SLC2A1	hsa:6513	solute carrier family 2 member 1
SLC33A1	hsa:9197	solute carrier family 33 member 1
SLC39A8	hsa:64116	solute carrier family 39 member 8
SLC40A1	hsa:30061	solute carrier family 40 member 1
SLC44A1	hsa:23446	solute carrier family 44 member 1
SLC46A1	hsa:113235	solute carrier family 46 member 1
SLC4A4	hsa:8671	solute carrier family 4 member 4
SLC52A3	hsa:113278	solute carrier family 52 member 3
SLC5A7	hsa:60482	solute carrier family 5 member 7
SLC6A1	hsa:6529	solute carrier family 6 member 1
SLC6A19	hsa:340024	solute carrier family 6 member 19
SLC6A3	hsa:6531	solute carrier family 6 member 3
SLC6A4	hsa:6532	solute carrier family 6 member 4
SLC6A5	hsa:9152	solute carrier family 6 member 5
SLC6A9	hsa:6536	solute carrier family 6 member 9
SLC7A5	hsa:8140	solute carrier family 7 member 5
SLC7A7	hsa:9056	solute carrier family 7 member 7
SLC7A8	hsa:23428	solute carrier family 7 member 8
SLC8A1	hsa:6546	solute carrier family 8 member A1
SLC9A3	hsa:6550	solute carrier family 9 member A3
SLC9A6	hsa:10479	solute carrier family 9 member A6
SLC9A7	hsa:84679	solute carrier family 9 member A7
SLCO1B3	hsa:28234	solute carrier organic anion transporter family member 1B3
SLX4	hsa:84464	SLX4 structure-specific endonuclease subunit
SMAD4	hsa:4089	SMAD family member 4
SMAD6	hsa:4091	SMAD family member 6
SMARCA2	hsa:6595	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2
SMARCA4	hsa:6597	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
SMARCAD1	hsa:56916	SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1
SMARCB1	hsa:6598	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1
SMARCC1	hsa:6599	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1
SMARCC2	hsa:6601	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2
SMARCD1	hsa:6602	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1
SMARCE1	hsa:6605	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1
SMC1A	hsa:8243	structural maintenance of chromosomes 1A
SMC3	hsa:9126	structural maintenance of chromosomes 3
SMG6	hsa:23293	SMG6 nonsense mediated mRNA decay factor
SMO	hsa:6608	smoothened, frizzled class receptor
SMPD1	hsa:6609	sphingomyelin phosphodiesterase 1
SMPD4	hsa:55627	sphingomyelin phosphodiesterase 4
SMS	hsa:6611	spermine synthase
SMURF1	hsa:57154	SMAD specific E3 ubiquitin protein ligase 1
SNAP25	hsa:6616	synaptosome associated protein 25
SNAP29	hsa:9342	synaptosome associated protein 29
SND1	hsa:27044	staphylococcal nuclease and tudor domain containing 1
SNRPB	hsa:6628	small nuclear ribonucleoprotein polypeptides B and B1
SNX5	hsa:27131	sorting nexin 5
SOD1	hsa:6647	superoxide dismutase 1
SORBS1	hsa:10580	sorbin and SH3 domain containing 1
SOS1	hsa:6654	SOS Ras/Rac guanine nucleotide exchange factor 1
SOS2	hsa:6655	SOS Ras/Rho guanine nucleotide exchange factor 2
SOX2	hsa:6657	SRY-box transcription factor 2
SOX4	hsa:6659	SRY-box transcription factor 4
SPART	hsa:23111	spartin
SPATA5	hsa:166378	spermatogenesis associated 5
SPG11	hsa:80208	SPG11 vesicle trafficking associated, spatacsin
SPOP	hsa:8405	speckle type BTB/POZ protein
SPR	hsa:6697	sepiapterin reductase
SPRY2	hsa:10253	sprouty RTK signaling antagonist 2
SPTAN1	hsa:6709	spectrin alpha, non-erythrocytic 1
SPTBN2	hsa:6712	spectrin beta, non-erythrocytic 2
SRD5A3	hsa:79644	steroid 5 alpha-reductase 3
SRGAP3	hsa:9901	SLIT-ROBO Rho GTPase activating protein 3
SRP54	hsa:6729	signal recognition particle 54
SRPRA	hsa:6734	SRP receptor subunit alpha
SRSF1	hsa:6426	serine and arginine rich splicing factor 1
ST3GAL3	hsa:6487	ST3 beta-galactoside alpha-2,3-sialyltransferase 3
ST3GAL5	hsa:8869	ST3 beta-galactoside alpha-2,3-sialyltransferase 5
STAG1	hsa:10274	stromal antigen 1
STAG2	hsa:10735	stromal antigen 2
STAMBP	hsa:10617	STAM binding protein
STIM1	hsa:6786	stromal interaction molecule 1
STRADA	hsa:92335	STE20 related adaptor alpha
STT3A	hsa:3703	STT3 oligosaccharyltransferase complex catalytic subunit A
STT3B	hsa:201595	STT3 oligosaccharyltransferase complex catalytic subunit B
STUB1	hsa:10273	STIP1 homology and U-box containing protein 1
STX1A	hsa:6804	syntaxin 1A
STX1B	hsa:112755	syntaxin 1B
STXBP1	hsa:6812	syntaxin binding protein 1
SUCLA2	hsa:8803	succinate-CoA ligase ADP-forming subunit beta
SUCLG1	hsa:8802	succinate-CoA ligase GDP/ADP-forming subunit alpha
SUFU	hsa:51684	SUFU negative regulator of hedgehog signaling
SUMF1	hsa:285362	sulfatase modifying factor 1
SUOX	hsa:6821	sulfite oxidase
SYNGAP1	hsa:8831	synaptic Ras GTPase activating protein 1
SYNJ1	hsa:8867	synaptojanin 1
SYT1	hsa:6857	synaptotagmin 1
TAB2	hsa:23118	TGF-beta activated kinase 1 (MAP3K7) binding protein 2
TAF1	hsa:6872	TATA-box binding protein associated factor 1
TAF13	hsa:6884	TATA-box binding protein associated factor 13
TAF2	hsa:6873	TATA-box binding protein associated factor 2
TAF5	hsa:6877	TATA-box binding protein associated factor 5
TAF6	hsa:6878	TATA-box binding protein associated factor 6
TAOK1	hsa:57551	TAO kinase 1
TAOK2	hsa:9344	TAO kinase 2
TAT	hsa:6898	tyrosine aminotransferase
TBC1D7	hsa:51256	TBC1 domain family member 7
TBL1X	hsa:6907	transducin beta like 1 X-linked
TBL1XR1	hsa:79718	TBL1X receptor 1
TBX21	hsa:30009	T-box transcription factor 21
TCF7L2	hsa:6934	transcription factor 7 like 2
TCN2	hsa:6948	transcobalamin 2
TCOF1	hsa:6949	treacle ribosome biogenesis factor 1
TDO2	hsa:6999	tryptophan 2,3-dioxygenase
TECR	hsa:9524	trans-2,3-enoyl-CoA reductase
TEK	hsa:7010	TEK receptor tyrosine kinase
TELO2	hsa:9894	telomere maintenance 2
TERT	hsa:7015	telomerase reverse transcriptase
TFE3	hsa:7030	transcription factor binding to IGHM enhancer 3
TGIF1	hsa:7050	TGFB induced factor homeobox 1
TH	hsa:7054	tyrosine hydroxylase
THBS1	hsa:7057	thrombospondin 1
THOC2	hsa:57187	THO complex 2
THOC6	hsa:79228	THO complex 6
THRA	hsa:7067	thyroid hormone receptor alpha
THRB	hsa:7068	thyroid hormone receptor beta
TK2	hsa:7084	thymidine kinase 2
TKFC	hsa:26007	triokinase and FMN cyclase
TKT	hsa:7086	transketolase
TLN1	hsa:7094	talin 1
TMLHE	hsa:55217	trimethyllysine hydroxylase, epsilon
TNPO3	hsa:23534	transportin 3
TNR	hsa:7143	tenascin R
TOP2A	hsa:7153	DNA topoisomerase II alpha
TOP3A	hsa:7156	DNA topoisomerase III alpha
TOP3B	hsa:8940	DNA topoisomerase III beta
TP53BP1	hsa:7158	tumor protein p53 binding protein 1
TPI1	hsa:7167	triosephosphate isomerase 1
TPK1	hsa:27010	thiamin pyrophosphokinase 1
TPO	hsa:7173	thyroid peroxidase
TPP1	hsa:1200	tripeptidyl peptidase 1
TRA2B	hsa:6434	transformer 2 beta homolog
TREX1	hsa:11277	three prime repair exonuclease 1
TRIM32	hsa:22954	tripartite motif containing 32
TRIM37	hsa:4591	tripartite motif containing 37
TRIP12	hsa:9320	thyroid hormone receptor interactor 12
TRIT1	hsa:54802	tRNA isopentenyltransferase 1
TRPC6	hsa:7225	transient receptor potential cation channel subfamily C member 6
TRPV4	hsa:59341	transient receptor potential cation channel subfamily V member 4
TRRAP	hsa:8295	transformation/transcription domain associated protein
TSC1	hsa:7248	TSC complex subunit 1
TSC2	hsa:7249	TSC complex subunit 2
TSHB	hsa:7252	thyroid stimulating hormone subunit beta
TSPAN7	hsa:7102	tetraspanin 7
TTC37	hsa:9652	tetratricopeptide repeat domain 37
TTN	hsa:7273	titin
TUBA1A	hsa:7846	tubulin alpha 1a
TUBA8	hsa:51807	tubulin alpha 8
TUBB	hsa:203068	tubulin beta class I
TUBB2A	hsa:7280	tubulin beta 2A class IIa
TUBB2B	hsa:347733	tubulin beta 2B class IIb
TUBB3	hsa:10381	tubulin beta 3 class III
TUBB4A	hsa:10382	tubulin beta 4A class IVa
TUBG1	hsa:7283	tubulin gamma 1
TUSC3	hsa:7991	tumor suppressor candidate 3
TWIST1	hsa:7291	twist family bHLH transcription factor 1
TWNK	hsa:56652	twinkle mtDNA helicase
U2AF2	hsa:11338	U2 small nuclear RNA auxiliary factor 2
UBE2A	hsa:7319	ubiquitin conjugating enzyme E2 A
UBE2H	hsa:7328	ubiquitin conjugating enzyme E2 H
UBE3A	hsa:7337	ubiquitin protein ligase E3A
UBE3B	hsa:89910	ubiquitin protein ligase E3B
UBE3C	hsa:9690	ubiquitin protein ligase E3C
UBR5	hsa:51366	ubiquitin protein ligase E3 component n-recognin 5
UGDH	hsa:7358	UDP-glucose 6-dehydrogenase
UGP2	hsa:7360	UDP-glucose pyrophosphorylase 2
UIMC1	hsa:51720	ubiquitin interaction motif containing 1
UMPS	hsa:7372	uridine monophosphate synthetase
UNC13A	hsa:23025	unc-13 homolog A
UNC5A	hsa:90249	unc-5 netrin receptor A
UNC5D	hsa:137970	unc-5 netrin receptor D
UPB1	hsa:51733	beta-ureidopropionase 1
UPF2	hsa:26019	UPF2 regulator of nonsense mediated mRNA decay
UPF3B	hsa:65109	UPF3B regulator of nonsense mediated mRNA decay
UROC1	hsa:131669	urocanate hydratase 1
USP15	hsa:9958	ubiquitin specific peptidase 15
USP7	hsa:7874	ubiquitin specific peptidase 7
UTP6	hsa:55813	UTP6 small subunit processome component
VAC14	hsa:55697	VAC14 component of PIKFYVE complex
VAMP2	hsa:6844	vesicle associated membrane protein 2
VARS1	hsa:7407	valyl-tRNA synthetase 1
VARS2	hsa:57176	valyl-tRNA synthetase 2, mitochondrial
VDR	hsa:7421	vitamin D receptor
VLDLR	hsa:7436	very low density lipoprotein receptor
VPS11	hsa:55823	VPS11 core subunit of CORVET and HOPS complexes
VPS16	hsa:64601	VPS16 core subunit of CORVET and HOPS complexes
VPS37A	hsa:137492	VPS37A subunit of ESCRT-I
VPS4A	hsa:27183	vacuolar protein sorting 4 homolog A
VSIG4	hsa:11326	V-set and immunoglobulin domain containing 4
WARS2	hsa:10352	tryptophanyl tRNA synthetase 2, mitochondrial
WASF1	hsa:8936	WASP family member 1
WASHC4	hsa:23325	WASH complex subunit 4
WASHC5	hsa:9897	WASH complex subunit 5
WFS1	hsa:7466	wolframin ER transmembrane glycoprotein
WNT1	hsa:7471	Wnt family member 1
WWP1	hsa:11059	WW domain containing E3 ubiquitin protein ligase 1
XPA	hsa:7507	XPA, DNA damage recognition and repair factor
XPC	hsa:7508	XPC complex subunit, DNA damage recognition and repair factor
XPO1	hsa:7514	exportin 1
XRCC4	hsa:7518	X-ray repair cross complementing 4
XRCC6	hsa:2547	X-ray repair cross complementing 6
XYLT1	hsa:64131	xylosyltransferase 1
YAP1	hsa:10413	Yes1 associated transcriptional regulator
YWHAE	hsa:7531	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon
YWHAG	hsa:7532	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma
ZBTB16	hsa:7704	zinc finger and BTB domain containing 16
ZEB2	hsa:9839	zinc finger E-box binding homeobox 2
ZFHX3	hsa:463	zinc finger homeobox 3
ZFPM2	hsa:23414	zinc finger protein, FOG family member 2
ZNF517	hsa:340385	zinc finger protein 517
ZNF548	hsa:147694	zinc finger protein 548
ZNF559	hsa:84527	zinc finger protein 559
ZNF713	hsa:349075	zinc finger protein 713
